Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
1565,1566078430.807712,1566078430.807781,0.069618,-0.099998
1566,1566078430.907715,1566078430.907785,0.069618,-0.100003
1567,1566078431.007713,1566078431.007785,0.072002,-0.099998
1568,1566078431.107714,1566078431.107786,0.072241,-0.100001
1569,1566078431.207718,1566078431.207794,0.076532,-0.100004
1570,1566078431.307715,1566078431.307782,0.067472,-0.099997
1571,1566078431.407717,1566078431.407794,0.076771,-0.100002
1572,1566078431.507716,1566078431.507785,0.068903,-0.099999
1573,1566078431.607713,1566078431.607792,0.078201,-0.099998
1574,1566078431.707720,1566078431.707772,0.052691,-0.100006
1575,1566078431.807712,1566078431.807785,0.073195,-0.099992
1576,1566078431.907714,1566078431.907786,0.071526,-0.100003
1577,1566078432.007711,1566078432.007782,0.070810,-0.099997
1578,1566078432.107726,1566078432.107799,0.073195,-0.100015
1579,1566078432.207712,1566078432.207782,0.070095,-0.099986
1580,1566078432.307714,1566078432.307783,0.069141,-0.100002
1581,1566078432.407717,1566078432.407788,0.070810,-0.100003
1582,1566078432.507715,1566078432.507792,0.076294,-0.099998
1583,1566078432.607718,1566078432.607785,0.067234,-0.100002
1584,1566078432.707715,1566078432.707791,0.076532,-0.099997
1585,1566078432.807714,1566078432.807779,0.064850,-0.100000
1586,1566078432.907765,1566078432.907828,0.062943,-0.100051
1587,1566078433.007721,1566078433.007784,0.063658,-0.099956
1588,1566078433.107713,1566078433.107775,0.061512,-0.099993
1589,1566078433.207716,1566078433.207793,0.077009,-0.100002
1590,1566078433.307726,1566078433.307804,0.077724,-0.100011
1591,1566078433.407712,1566078433.407785,0.073433,-0.099986
1592,1566078433.507721,1566078433.507808,0.087261,-0.100009
1593,1566078433.607715,1566078433.607784,0.069141,-0.099994
1594,1566078433.707716,1566078433.707785,0.069380,-0.100001
1595,1566078433.807766,1566078433.807832,0.066757,-0.100050
1596,1566078433.907717,1566078433.907784,0.066757,-0.099952
1597,1566078434.007712,1566078434.007775,0.062943,-0.099994
1598,1566078434.107713,1566078434.107787,0.073671,-0.100002
1599,1566078434.207717,1566078434.207801,0.083685,-0.100003
1600,1566078434.307713,1566078434.307783,0.070095,-0.099996
1601,1566078434.407716,1566078434.407787,0.070333,-0.100004
1602,1566078434.507727,1566078434.507801,0.074387,-0.100010
1603,1566078434.607727,1566078434.607799,0.072002,-0.100001
1604,1566078434.707715,1566078434.707783,0.067711,-0.099988
1605,1566078434.807713,1566078434.807779,0.066280,-0.099998
1606,1566078434.907713,1566078434.907781,0.067949,-0.100000
1607,1566078435.007712,1566078435.007777,0.065327,-0.099999
1608,1566078435.107714,1566078435.107789,0.075102,-0.100002
1609,1566078435.207713,1566078435.207783,0.069618,-0.099999
1610,1566078435.307713,1566078435.307786,0.073671,-0.099999
1611,1566078435.407714,1566078435.407786,0.072002,-0.100002
1612,1566078435.507713,1566078435.507785,0.072002,-0.099999
1613,1566078435.607715,1566078435.607790,0.075579,-0.100002
1614,1566078435.707718,1566078435.707786,0.068188,-0.100003
1615,1566078435.807715,1566078435.807787,0.071764,-0.099997
1616,1566078435.907711,1566078435.907779,0.068426,-0.099996
1617,1566078436.007714,1566078436.007788,0.073910,-0.100003
1618,1566078436.107717,1566078436.107803,0.086069,-0.100003
1619,1566078436.207714,1566078436.207778,0.064850,-0.099996
1620,1566078436.307713,1566078436.307783,0.070333,-0.099999
1621,1566078436.407714,1566078436.407782,0.068426,-0.100001
1622,1566078436.507715,1566078436.507782,0.066519,-0.100001
1623,1566078436.607715,1566078436.607790,0.074863,-0.100000
1624,1566078436.707714,1566078436.707784,0.070333,-0.099999
1625,1566078436.807717,1566078436.807786,0.069380,-0.100003
1626,1566078436.907714,1566078436.907784,0.070333,-0.099997
1627,1566078437.007720,1566078437.007798,0.077486,-0.100007
1628,1566078437.107715,1566078437.107791,0.075579,-0.099995
1629,1566078437.207715,1566078437.207787,0.072479,-0.100000
1630,1566078437.307715,1566078437.307784,0.068426,-0.100000
1631,1566078437.407718,1566078437.407800,0.082016,-0.100003
1632,1566078437.507716,1566078437.507787,0.070333,-0.099998
1633,1566078437.607720,1566078437.607795,0.075579,-0.100003
1634,1566078437.707712,1566078437.707781,0.069618,-0.099992
1635,1566078437.807712,1566078437.807786,0.073195,-0.100001
1636,1566078437.907717,1566078437.907793,0.075817,-0.100005
1637,1566078438.007719,1566078438.007785,0.065327,-0.100002
1638,1566078438.107717,1566078438.107782,0.065088,-0.099998
1639,1566078438.207714,1566078438.207785,0.071287,-0.099997
1640,1566078438.307714,1566078438.307787,0.073433,-0.100000
1641,1566078438.407712,1566078438.407781,0.068665,-0.099999
1642,1566078438.507712,1566078438.507786,0.073910,-0.100000
1643,1566078438.607714,1566078438.607792,0.077963,-0.100002
1644,1566078438.707712,1566078438.707781,0.068903,-0.099999
1645,1566078438.807725,1566078438.807818,0.092983,-0.100012
1646,1566078438.907714,1566078438.907782,0.068188,-0.099989
1647,1566078439.007714,1566078439.007788,0.074387,-0.100000
1648,1566078439.107717,1566078439.107787,0.070095,-0.100003
