S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
369,1566078311.207870,1566078311.222827,14.957428,-0.100046
370,1566078311.307821,1566078311.322639,14.817476,-0.099952
371,1566078311.407822,1566078311.422766,14.943600,-0.100001
372,1566078311.507822,1566078311.522723,14.901161,-0.100000
373,1566078311.607820,1566078311.622605,14.785290,-0.099998
374,1566078311.707835,1566078311.722729,14.894724,-0.100015
375,1566078311.807883,1566078311.822837,14.954567,-0.100048
376,1566078311.907833,1566078311.922763,14.929771,-0.099950
377,1566078312.007829,1566078312.022692,14.862776,-0.099997
378,1566078312.107828,1566078312.122699,14.871597,-0.099998
379,1566078312.207839,1566078312.222826,14.987230,-0.100012
380,1566078312.307838,1566078312.322743,14.904976,-0.099999
381,1566078312.407819,1566078312.422684,14.865160,-0.099981
382,1566078312.507822,1566078312.522775,14.952421,-0.100003
383,1566078312.607838,1566078312.622741,14.903545,-0.100015
384,1566078312.707818,1566078312.722670,14.852047,-0.099980
385,1566078312.807838,1566078312.822775,14.936924,-0.100020
386,1566078312.907823,1566078312.922683,14.859438,-0.099985
387,1566078313.007840,1566078313.022764,14.924526,-0.100017
388,1566078313.107829,1566078313.122788,14.959097,-0.099989
389,1566078313.207824,1566078313.222705,14.880657,-0.099995
390,1566078313.307824,1566078313.322749,14.925241,-0.100000
391,1566078313.407833,1566078313.422700,14.866590,-0.100009
392,1566078313.507823,1566078313.522689,14.866352,-0.099990
393,1566078313.607847,1566078313.622762,14.914989,-0.100024
394,1566078313.707839,1566078313.722790,14.951229,-0.099992
395,1566078313.807832,1566078313.822698,14.866352,-0.099992
396,1566078313.907826,1566078313.922729,14.902353,-0.099995
397,1566078314.007834,1566078314.022714,14.879942,-0.100008
398,1566078314.107836,1566078314.122752,14.915705,-0.100002
399,1566078314.207841,1566078314.222720,14.878988,-0.100005
400,1566078314.307849,1566078314.322799,14.950275,-0.100008
401,1566078314.407829,1566078314.422709,14.879942,-0.099980
402,1566078314.507827,1566078314.522695,14.868736,-0.099998
403,1566078314.607836,1566078314.622758,14.922619,-0.100009
404,1566078314.707818,1566078314.722600,14.781952,-0.099983
405,1566078314.807835,1566078314.822759,14.923811,-0.100017
406,1566078314.907831,1566078314.922810,14.978886,-0.099996
407,1566078315.007864,1566078315.022712,14.848232,-0.100033
408,1566078315.107834,1566078315.122882,15.047312,-0.099970
409,1566078315.207834,1566078315.222766,14.932632,-0.099999
410,1566078315.307844,1566078315.322719,14.875174,-0.100010
411,1566078315.407840,1566078315.422782,14.941692,-0.099996
412,1566078315.507848,1566078315.522903,15.055418,-0.100008
413,1566078315.607824,1566078315.622765,14.940977,-0.099976
414,1566078315.707839,1566078315.722751,14.912128,-0.100015
415,1566078315.807827,1566078315.822708,14.881372,-0.099988
416,1566078315.907898,1566078315.922966,15.067101,-0.100072
417,1566078316.007829,1566078316.022678,14.849186,-0.099930
418,1566078316.107824,1566078316.122751,14.926672,-0.099995
419,1566078316.207834,1566078316.222770,14.935970,-0.100010
420,1566078316.307839,1566078316.322730,14.890909,-0.100005
