S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
5216,1566078795.922760,1566078795.940402,17.641544,-0.100131
5217,1566078796.022789,1566078796.040427,17.637968,-0.100029
5218,1566078796.122663,1566078796.140452,17.788887,-0.099874
5219,1566078796.222749,1566078796.240391,17.642975,-0.100085
5220,1566078796.322816,1566078796.340440,17.624140,-0.100068
5221,1566078796.422765,1566078796.440397,17.632008,-0.099949
5222,1566078796.522834,1566078796.540462,17.628431,-0.100069
5223,1566078796.622839,1566078796.640503,17.664194,-0.100005
5224,1566078796.722847,1566078796.740532,17.684698,-0.100008
5225,1566078796.822822,1566078796.840451,17.629862,-0.099975
5226,1566078796.922842,1566078796.940482,17.639875,-0.100020
5227,1566078797.022758,1566078797.040440,17.682076,-0.099916
5228,1566078797.122777,1566078797.140393,17.615080,-0.100019
5229,1566078797.222716,1566078797.240421,17.704964,-0.099939
5230,1566078797.322983,1566078797.340622,17.638445,-0.100267
5231,1566078797.422691,1566078797.440373,17.681360,-0.099708
5232,1566078797.522698,1566078797.540407,17.708778,-0.100007
5233,1566078797.622680,1566078797.640428,17.747641,-0.099982
5234,1566078797.722684,1566078797.740378,17.693520,-0.100004
5235,1566078797.822843,1566078797.840552,17.709017,-0.100158
5236,1566078797.922731,1566078797.940365,17.634153,-0.099889
5237,1566078798.022662,1566078798.040399,17.737150,-0.099931
5238,1566078798.122707,1566078798.140392,17.685413,-0.100044
5239,1566078798.222655,1566078798.240356,17.701626,-0.099948
5240,1566078798.322674,1566078798.340411,17.737865,-0.100019
5241,1566078798.422657,1566078798.440359,17.701626,-0.099983
5242,1566078798.522752,1566078798.540430,17.678499,-0.100095
5243,1566078798.622765,1566078798.640363,17.597914,-0.100013
5244,1566078798.722724,1566078798.740404,17.679930,-0.099960
5245,1566078798.822680,1566078798.840377,17.697573,-0.099955
5246,1566078798.922805,1566078798.940537,17.732620,-0.100125
5247,1566078799.022773,1566078799.040385,17.612696,-0.099968
5248,1566078799.122755,1566078799.140437,17.682791,-0.099982
5249,1566078799.222879,1566078799.240519,17.640114,-0.100124
5250,1566078799.322886,1566078799.340523,17.637253,-0.100007
5251,1566078799.422786,1566078799.440440,17.654419,-0.099900
5252,1566078799.522739,1566078799.540349,17.609119,-0.099954
5253,1566078799.622699,1566078799.640426,17.727852,-0.099959
5254,1566078799.722848,1566078799.740542,17.694235,-0.100149
5255,1566078799.822833,1566078799.840500,17.667532,-0.099985
5256,1566078799.922655,1566078799.940366,17.710924,-0.099823
5257,1566078800.022665,1566078800.040425,17.759562,-0.100010
5258,1566078800.122764,1566078800.140474,17.710447,-0.100099
5259,1566078800.222743,1566078800.240435,17.691851,-0.099979
5260,1566078800.322702,1566078800.340415,17.713547,-0.099959
5261,1566078800.422838,1566078800.440446,17.608166,-0.100137
5262,1566078800.522868,1566078800.540470,17.601967,-0.100030
5263,1566078800.622655,1566078800.640345,17.690182,-0.099787
5264,1566078800.722675,1566078800.740342,17.667055,-0.100020
5265,1566078800.822665,1566078800.840374,17.709732,-0.099990
5266,1566078800.922853,1566078800.940548,17.695427,-0.100188
5267,1566078801.022692,1566078801.040377,17.684937,-0.099840
5268,1566078801.122599,1566078801.140243,17.643213,-0.099907
5269,1566078801.222783,1566078801.240412,17.628670,-0.100184
5270,1566078801.322595,1566078801.340270,17.674446,-0.099812
5271,1566078801.422670,1566078801.440414,17.743587,-0.100075
5272,1566078801.522706,1566078801.540437,17.730951,-0.100035
5273,1566078801.622871,1566078801.640553,17.682314,-0.100165
5274,1566078801.722921,1566078801.740626,17.704964,-0.100050
5275,1566078801.822727,1566078801.840382,17.655373,-0.099806
